symbol,num_buy_trades,total_buy_qty,avg_buy_price,total_buy_cost,num_sell_trades,total_sell_qty,avg_sell_price,total_sell_proceeds,matched_qty,realized_pnl,realized_pnl_pct,net_position,first_trade_date,last_trade_date
OCG,1,10,11.63,116.30000000000001,1,10,11.92,119.2,10,2.8999999999999915,2.49355116079105,0,12/09/2025 14:46:16,12/09/2025 14:46:44
VOR,2,2,12.16,24.32,2,2,12.135000000000002,24.270000000000003,2,-0.04999999999999716,-0.20559210526314622,0,12/09/2025 13:29:34,12/09/2025 13:30:32
WWE,3,3,13.37,40.11,3,3,13.209999999999999,39.629999999999995,3,-0.4800000000000004,-1.1967090501121924,0,12/08/2025 07:43:58,12/08/2025 09:33:34
BDRX,1,1,13.19,13.19,1,1,14.01,14.01,1,0.8200000000000003,6.216830932524642,0,12/08/2025 06:49:48,12/08/2025 06:50:05
QCLS,1,1,7.16,7.16,1,1,7.04,7.04,1,-0.1200000000000001,-1.6759776536312863,0,12/04/2025 10:11:01,12/04/2025 10:11:02
IRBT,3,3,3.2016666666666667,9.605,2,3,3.1006666666666667,9.302,3,-0.30299999999999994,-3.1546069755335755,0,12/03/2025 09:48:23,12/03/2025 11:25:03
BQ,1,1,3.05,3.05,1,1,3.175,3.175,1,0.125,4.0983606557377055,0,12/02/2025 10:11:59,12/02/2025 10:12:25
QTTB,3,3,4.716666666666667,14.15,3,3,4.596666666666667,13.790000000000001,3,-0.3600000000000003,-2.5441696113074226,0,12/01/2025 08:33:35,12/01/2025 09:41:04
KTTA,1,1,1.22,1.22,1,1,1.2,1.2,1,-0.020000000000000018,-1.6393442622950833,0,11/26/2025 10:08:16,11/26/2025 10:26:51
CETY,2,2,1.9224999999999999,3.8449999999999998,2,2,1.98,3.96,2,0.11500000000000021,2.99089726918076,0,11/25/2025 09:31:50,11/25/2025 09:49:27
INHD,2,2,1.9,3.8,2,2,1.935,3.87,2,0.07000000000000028,1.8421052631579022,0,11/24/2025 10:58:04,11/24/2025 11:12:39
ENLV,4,4,1.7025,6.81,4,4,1.6949999999999998,6.779999999999999,4,-0.03000000000000025,-0.4405286343612372,0,11/24/2025 08:39:55,11/24/2025 08:53:00
MNDR,11,11,4.8577272727272724,53.434999999999995,10,11,4.759545454545455,52.355000000000004,11,-1.0799999999999947,-2.0211471881725362,0,11/21/2025 10:17:16,11/21/2025 15:36:10
FOXX,5,5,4.2219999999999995,21.11,4,5,4.174,20.87,5,-0.23999999999999577,-1.1369019422074644,0,11/21/2025 11:03:13,11/21/2025 14:52:37
DVLT,2,2,2.3075,4.615,2,2,2.3274999999999997,4.654999999999999,2,0.03999999999999915,0.8667388949078906,0,11/21/2025 11:55:49,11/21/2025 12:30:12
NNOX,2,2,4.4175,8.835,2,2,4.39,8.78,2,-0.05500000000000149,-0.6225240520656647,0,11/21/2025 12:14:33,11/21/2025 12:18:22
EPSM,1,1,4.755,4.755,1,1,4.58,4.58,1,-0.17499999999999982,-3.6803364879074625,0,11/21/2025 10:15:14,11/21/2025 10:16:09
SGBX,4,4,4.65,18.6,1,4,4.34,17.36,4,-1.240000000000002,-6.666666666666677,0,11/21/2025 09:36:36,11/21/2025 09:43:52
OLMA,8,8,26.9725,215.78,5,8,26.721249999999998,213.76999999999998,8,-2.0100000000000193,-0.9315043099453236,0,11/18/2025 07:07:19,11/18/2025 08:22:16
GTBP,2,2,1.035,2.07,2,2,1.0525,2.105,2,0.03500000000000014,1.6908212560386544,0,11/14/2025 15:44:15,11/14/2025 15:51:01
CYCU,3,3,6.63,19.89,1,3,6.69,20.07,3,0.1800000000000015,0.9049773755656184,0,11/14/2025 14:47:31,11/14/2025 14:53:24
CYPH,2,2,2.3045,4.609,2,2,2.3775,4.755,2,0.1459999999999999,3.1677153395530464,0,11/14/2025 09:38:01,11/14/2025 09:47:28
BBAI,2,2,7.21,14.42,2,2,7.234999999999999,14.469999999999999,2,0.049999999999998934,0.34674063800276655,0,11/12/2025 09:39:01,11/12/2025 15:55:14
OPEN,1,1,9.1,9.1,1,1,9.12,9.12,1,0.019999999999999574,0.21978021978021509,0,11/12/2025 15:30:03,11/12/2025 15:31:55
CMBM,9,9,5.628666666666667,50.658,5,9,4.967555555555555,44.708,9,-5.950000000000003,-11.745430139365949,0,10/29/2025 10:56:21,11/12/2025 10:37:49
VCIG,2,2,2.76,5.52,2,2,2.66,5.32,2,-0.1999999999999993,-3.623188405797089,0,11/11/2025 07:27:10,11/11/2025 07:34:01
MTC,2,2,3.052,6.104,1,2,3.17,6.34,2,0.23599999999999977,3.866317169069459,0,11/07/2025 11:44:03,11/07/2025 11:52:10
BKYI,3,12,1.26,15.12,3,12,1.2104166666666665,14.524999999999999,12,-0.5950000000000024,-3.935185185185201,0,11/07/2025 10:09:14,11/07/2025 10:55:04
FTEL,1,1,4.85,4.85,1,1,4.22,4.22,1,-0.6299999999999999,-12.989690721649483,0,11/06/2025 09:09:43,11/06/2025 09:13:06
SLDP,1,1,7.84,7.84,1,1,7.93,7.93,1,0.08999999999999986,1.1479591836734675,0,11/05/2025 09:52:40,11/05/2025 09:53:31
HKD,1,1,4.76,4.76,1,1,4.525,4.525,1,-0.23499999999999943,-4.936974789915954,0,10/31/2025 10:20:12,10/31/2025 10:21:41
AAPL,1,1,270.12,270.12,1,1,270.05,270.05,1,-0.06999999999999318,-0.025914408411074036,0,10/29/2025 18:36:10,10/29/2025 18:36:17
MSAI,2,2,1.205,2.41,2,2,1.2155,2.431,2,0.020999999999999908,0.8713692946058051,0,10/29/2025 10:03:57,10/29/2025 10:05:56
PPBT,3,3,1.324,3.9720000000000004,3,3,1.2966666666666666,3.8899999999999997,3,-0.0820000000000003,-2.0644511581067544,0,10/29/2025 09:50:26,10/29/2025 09:55:36
WKEY,1,1,15.85,15.85,1,1,15.89,15.89,1,0.040000000000000924,0.2523659305993749,0,10/28/2025 10:09:25,10/28/2025 10:09:59
ASST,1,1,1.795,1.795,1,1,1.78,1.78,1,-0.014999999999999902,-0.8356545961002733,0,10/27/2025 15:09:20,10/27/2025 15:11:02
CODX,3,3,1.3163333333333334,3.949,3,3,1.3226666666666667,3.968,3,0.018999999999999906,0.4811344644213701,0,10/27/2025 11:52:11,10/27/2025 14:35:24
WGRX,1,1,1.38,1.38,1,1,1.32,1.32,1,-0.05999999999999983,-4.34782608695651,0,10/24/2025 10:36:20,10/24/2025 10:45:23
SCNX,4,4,1.84175,7.367,4,4,1.85,7.4,4,0.03300000000000036,0.4479435319668842,0,10/23/2025 15:16:41,10/23/2025 15:38:41
RGTZ,1,1,16.09,16.09,1,1,16.15,16.15,1,0.05999999999999872,0.3729024238657472,0,10/23/2025 12:40:16,10/23/2025 12:40:27
BYND,3,12,2.5208333333333335,30.25,3,12,2.3943333333333334,28.732,12,-1.5180000000000007,-5.01818181818182,0,01/01/1 00:00:00,10/23/2025 12:07:29
NVNI,2,2,4.478,8.956,2,2,4.453,8.906,2,-0.049999999999998934,-0.5582849486377729,0,01/01/1 00:00:00,10/14/2025 10:32:45
NUAI,3,12,2.200833333333333,26.409999999999997,3,12,2.267916666666667,27.215,12,0.8050000000000033,3.0480878455130758,0,10/09/2025 10:52:50,10/14/2025 10:16:52
ELBM,2,2,7.0,14.0,2,2,6.825,13.65,2,-0.34999999999999964,-2.4999999999999973,0,10/13/2025 15:04:54,10/13/2025 15:15:32
ONMD,1,10,3.81,38.1,1,10,3.75,37.5,10,-0.6000000000000005,-1.5748031496063006,0,10/10/2025 10:41:09,10/10/2025 10:46:20
LAES,1,10,5.49,54.900000000000006,1,10,5.33,53.3,10,-1.6000000000000014,-2.9143897996357038,0,10/09/2025 11:17:48,10/09/2025 11:21:19
RKDA,1,1,5.78,5.78,1,1,6.16,6.16,1,0.3799999999999999,6.574394463667818,0,10/08/2025 14:03:37,10/08/2025 14:08:23
QUBT,1,5,24.57,122.85,1,5,24.01,120.05000000000001,5,-2.7999999999999936,-2.279202279202274,0,10/03/2025 09:49:46,10/03/2025 09:50:40
DFLI,2,200,0.96925,193.85,2,200,0.9775,195.5,200,1.6500000000000181,0.8511735878256478,0,10/02/2025 12:50:33,10/02/2025 14:00:22
YCBD,1,1,1.32,1.32,1,1,1.26,1.26,1,-0.06000000000000005,-4.545454545454549,0,09/29/2025 10:12:27,09/29/2025 10:12:38
KOD,1,1,15.25,15.25,1,1,15.22,15.22,1,-0.02999999999999936,-0.19672131147540564,0,09/22/2025 14:28:02,09/22/2025 14:29:56
WLDS,1,1,9.78,9.78,1,1,9.75,9.75,1,-0.02999999999999936,-0.3067484662576622,0,09/12/2025 14:07:06,09/12/2025 14:09:22
RANI,1,1,2.889,2.889,1,1,2.801,2.801,1,-0.08799999999999963,-3.0460366908964915,0,01/01/1 00:00:00,01/01/1 00:00:00
ARTV,1,1,7.08,7.08,1,1,7.07,7.07,1,-0.009999999999999787,-0.14124293785310432,0,01/01/1 00:00:00,01/01/1 00:00:00
XRTX,1,1,1.3,1.3,1,1,1.24,1.24,1,-0.06000000000000005,-4.615384615384619,0,01/01/1 00:00:00,01/01/1 00:00:00
GNPX,2,200,0.5725,114.5,2,200,0.5911,118.22,200,3.71999999999999,3.2489082969432226,0,01/01/1 00:00:00,01/01/1 00:00:00
TMQ,1,1,11.02,11.02,1,1,10.86,10.86,1,-0.16000000000000014,-1.4519056261343026,0,01/01/1 00:00:00,01/01/1 00:00:00
